국적,목적,YearMonth,Headcount
스웨덴,공용,2019-02-01,9
스웨덴,유학연수,2019-02-01,91
스웨덴,기타,2019-02-01,79
구 주 기타,관광,2019-02-01,3664
구 주 기타,상용,2019-02-01,62
구 주 기타,공용,2019-02-01,24
구 주 기타,유학연수,2019-02-01,464
구 주 기타,기타,2019-02-01,1869
대양주,관광,2019-02-01,8382
대양주,상용,2019-02-01,87
대양주,공용,2019-02-01,41
대양주,유학연수,2019-02-01,132
대양주,기타,2019-02-01,1980
오스트레일리아,관광,2019-02-01,6836
오스트레일리아,상용,2019-02-01,73
오스트레일리아,공용,2019-02-01,31
오스트레일리아,유학연수,2019-02-01,119
오스트레일리아,기타,2019-02-01,1272
뉴질랜드,관광,2019-02-01,1221
뉴질랜드,상용,2019-02-01,14
뉴질랜드,공용,2019-02-01,5
뉴질랜드,유학연수,2019-02-01,11
뉴질랜드,기타,2019-02-01,612
키리바시,관광,2019-02-01,10
키리바시,공용,2019-02-01,0
키리바시,유학연수,2019-02-01,0
키리바시,기타,2019-02-01,67
피  지,관광,2019-02-01,218
피  지,공용,2019-02-01,1
피  지,유학연수,2019-02-01,1
피  지,기타,2019-02-01,17
대양주 기타,관광,2019-02-01,97
대양주 기타,상용,2019-02-01,0
대양주 기타,공용,2019-02-01,4
대양주 기타,유학연수,2019-02-01,1
대양주 기타,기타,2019-02-01,12
아프리카주,관광,2019-02-01,1516
아프리카주,상용,2019-02-01,812
아프리카주,공용,2019-02-01,63
아프리카주,유학연수,2019-02-01,528
아프리카주,기타,2019-02-01,1748
남아프리카 공화국,관광,2019-02-01,374
남아프리카 공화국,상용,2019-02-01,6
남아프리카 공화국,공용,2019-02-01,5
남아프리카 공화국,유학연수,2019-02-01,8
남아프리카 공화국,기타,2019-02-01,798
나이지리아,관광,2019-02-01,115
나이지리아,상용,2019-02-01,50
나이지리아,공용,2019-02-01,2
나이지리아,유학연수,2019-02-01,64
나이지리아,기타,2019-02-01,56
이집트,관광,2019-02-01,99
이집트,상용,2019-02-01,132
이집트,공용,2019-02-01,8
이집트,유학연수,2019-02-01,31
이집트,기타,2019-02-01,167
아프리카주 기타,관광,2019-02-01,928
아프리카주 기타,상용,2019-02-01,624
아프리카주 기타,공용,2019-02-01,48
아프리카주 기타,유학연수,2019-02-01,425
아프리카주 기타,기타,2019-02-01,727
기 타,관광,2019-02-01,24
기 타,상용,2019-02-01,1
기 타,공용,2019-02-01,0
기 타,유학연수,2019-02-01,3
기 타,기타,2019-02-01,14470
교포,기타,2019-02-01,14459
미상,관광,2019-02-01,24
