국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Ensemble
그리스,상용,2021,12,4,겨울,1,204,7,6.0,20.0,11.0,8.333333333333334,12.25,-36.36363636363637,0,2,1,16.546027493584674,21.75406894742694,17.37891895024264,18.55967179708475
그리스,상용,2022,1,1,겨울,1,205,13,7.0,12.0,14.0,8.666666666666666,12.166666666666666,-7.142857142857142,0,2,1,20.202042215641523,26.27420252966179,20.412081036733586,22.2961085940123
그리스,상용,2022,2,1,겨울,1,206,7,13.0,6.0,11.0,9.0,11.833333333333334,-36.36363636363637,0,2,1,19.204015207224305,28.040207524548382,21.576703997129954,22.94030890963421
그리스,상용,2022,3,1,봄,1,207,8,7.0,7.0,14.0,9.333333333333334,11.333333333333334,-42.85714285714285,0,2,2,18.356537652157904,26.026032318067855,15.300726576209186,19.894432182144982
그리스,상용,2022,4,2,봄,1,208,7,8.0,13.0,8.0,7.333333333333333,11.25,-12.5,0,2,2,17.521395069823058,25.898670919584248,16.516153524263014,19.978739837890107
그리스,상용,2022,5,2,봄,1,209,15,7.0,7.0,12.0,10.0,11.5,25.0,0,2,2,16.89737196087219,25.898670919584248,19.963533971315297,20.91985895059058
그리스,상용,2022,6,2,여름,1,210,2,15.0,8.0,12.0,8.0,10.666666666666666,-83.33333333333334,0,2,3,17.01378930524463,25.992293969117895,17.24581888902193,20.083967387794818
그리스,상용,2022,7,3,여름,0,211,8,2.0,7.0,11.0,8.333333333333334,10.416666666666666,-27.27272727272727,0,2,3,17.308293037671504,25.992293969117895,13.24126002662217,18.847282344470525
그리스,상용,2022,8,3,여름,0,212,20,8.0,15.0,20.0,10.0,10.416666666666666,0.0,0,2,3,19.896828811672076,30.294294327322667,30.76292216747956,26.984681768824768
그리스,상용,2022,9,3,가을,0,213,14,20.0,2.0,20.0,14.0,9.916666666666666,-30.0,0,2,0,19.956198752664026,27.586537536534237,28.095569265819005,25.21276851833909
그리스,상용,2022,10,4,가을,0,214,18,14.0,8.0,12.0,17.333333333333332,10.416666666666666,50.0,0,2,0,19.411362392747264,27.83461942170706,20.168060557253696,22.471347457236007
그리스,상용,2022,11,4,가을,0,215,11,18.0,20.0,6.0,14.333333333333334,10.833333333333334,83.33333333333334,0,2,0,18.736994616199038,27.399381731041608,16.485706764378367,20.874027703873
그리스,상용,2022,12,4,겨울,0,216,4,11.0,14.0,7.0,11.0,10.583333333333334,-42.85714285714285,0,2,1,16.546027493584674,21.75406894742694,17.37891895024264,18.55967179708475
